ccy,date,rate
DKK,2005-11-18,0.156963694297509
EUR,2005-11-18,1.170836189170665
GBP,2005-11-18,1.7135023989033584
HKD,2005-11-18,0.12898066579819684
HUF,2005-11-18,0.004621063547017475
ILS,2005-11-18,0.21186440677966106
INR,2005-11-18,0.02186748305270064
JPY,2005-11-18,0.008380122349786308
KRW,2005-11-18,0.0009638554216867467
MYR,2005-11-18,0.2645852626008731
NOK,2005-11-18,0.14870772982779645
NZD,2005-11-18,0.6847907964116963
PLN,2005-11-18,0.29423014682084325
RUB,2005-11-18,0.03466949569751558
SAR,2005-11-18,0.2666382252559727
SEK,2005-11-18,0.12181454952979585
SGD,2005-11-18,0.5878549174063841
THB,2005-11-18,0.02426889940541196
TRY,2005-11-18,0.7304601899196493
TWD,2005-11-18,0.02973181899268597
USD,2005-11-18,1.0
ZAR,2005-11-18,0.14916912795727796
AUD,2005-11-21,0.7351860020585208
CAD,2005-11-21,0.8455229559482539
CHF,2005-11-21,0.7586102260658474
CNY,2005-11-21,0.12374246717731058
CZK,2005-11-21,0.040119556277707566
DKK,2005-11-21,0.15734898431230626
EUR,2005-11-21,1.1739429357167412
GBP,2005-11-21,1.7188037126160194
HKD,2005-11-21,0.12897234832851834
HUF,2005-11-21,0.004626207093085763
ILS,2005-11-21,0.21119324181626187
INR,2005-11-21,0.021848372296263928
JPY,2005-11-21,0.008425309630128908
KRW,2005-11-21,0.0009620009620009619
MYR,2005-11-21,0.2645852626008731
NOK,2005-11-21,0.1488161673884251
NZD,2005-11-21,0.6882786151834263
PLN,2005-11-21,0.2951158329644385
RUB,2005-11-21,0.03482039639539256
SAR,2005-11-21,0.2666453350398635
SEK,2005-11-21,0.12274456855284152
SGD,2005-11-21,0.5885468777588134
THB,2005-11-21,0.024274790629930817
TRY,2005-11-21,0.7323324789454413
TWD,2005-11-21,0.029748624126134163
USD,2005-11-21,1.0
ZAR,2005-11-21,0.15023361326863272
AUD,2005-11-22,0.7342143906020557
CAD,2005-11-22,0.8492569002123143
CHF,2005-11-22,0.7568303943086355
CNY,2005-11-22,0.12373328054046698
CZK,2005-11-22,0.03999520057593089
DKK,2005-11-22,0.1570228468242129
EUR,2005-11-22,1.1714872497004962
GBP,2005-11-22,1.7114495978093445
HKD,2005-11-22,0.12897234832851834
HUF,2005-11-22,0.004614020994718329
ILS,2005-11-22,0.21104615579427224
INR,2005-11-22,0.02182453077258839
JPY,2005-11-22,0.008387854386847844
KRW,2005-11-22,0.0009573958831977024
MYR,2005-11-22,0.2645852626008731
NOK,2005-11-22,0.14902241297091082
NZD,2005-11-22,0.6876160352059411
PLN,2005-11-22,0.29505488020771864
RUB,2005-11-22,0.034667091916327504
SAR,2005-11-22,0.2666382252559727
SEK,2005-11-22,0.12281089578267385
SGD,2005-11-22,0.5881315062047874
THB,2005-11-22,0.02425124287619741
TRY,2005-11-22,0.7317965605561654
TWD,2005-11-22,0.029739334731082062
USD,2005-11-22,1.0
ZAR,2005-11-22,0.15093656136325906
AUD,2005-11-23,0.7382798080472499
CAD,2005-11-23,0.8536793580331228
CHF,2005-11-23,0.7604562737642586
CNY,2005-11-23,0.12382367508667655
CZK,2005-11-23,0.0403774483875266
DKK,2005-11-23,0.15805278963173694
EUR,2005-11-23,1.1792046823893958
GBP,2005-11-23,1.7214666896195558
HKD,2005-11-23,0.12898399308645794
HUF,2005-11-23,0.004666745379105394
ILS,2005-11-23,0.21211157068618086
INR,2005-11-23,0.02188183807439825
JPY,2005-11-23,0.008426019548365351
KRW,2005-11-23,0.0009657170449058426
MYR,2005-11-23,0.2646903123345686
NOK,2005-11-23,0.14976561680969286
NZD,2005-11-23,0.6933851060879213
PLN,2005-11-23,0.30020113476028937
RUB,2005-11-23,0.03477353733808572
SAR,2005-11-23,0.2666453350398635
SEK,2005-11-23,0.12397257726590878
SGD,2005-11-23,0.5909466966079661
THB,2005-11-23,0.024286581663630846
TRY,2005-11-23,0.735564545788893
TWD,2005-11-23,0.02986411826190832
USD,2005-11-23,1.0
ZAR,2005-11-23,0.1528981850985429
AUD,2005-11-24,0.7399733609590056
CAD,2005-11-24,0.8537522410996329
CHF,2005-11-24,0.7602828252109786
CNY,2005-11-24,0.12378382392988885
CZK,2005-11-24,0.04049599494609983
DKK,2005-11-24,0.15799036258788213
EUR,2005-11-24,1.178965517241379
GBP,2005-11-24,1.7241379310344829
HKD,2005-11-24,0.12897068496330782
HUF,2005-11-24,0.004690620728603499
ILS,2005-11-24,0.212630236019562
INR,2005-11-24,0.02188183807439825
JPY,2005-11-24,0.008416091567076251
KRW,2005-11-24,0.0009635767970707263
MYR,2005-11-24,0.2645712622694923
NOK,2005-11-24,0.14960653481344066
NZD,2005-11-24,0.6957973838018369
PLN,2005-11-24,0.30098723814110284
RUB,2005-11-24,0.034774988437316336
SAR,2005-11-24,0.2666382252559727
SEK,2005-11-24,0.12407409705075872
SGD,2005-11-24,0.5918560606060607
THB,2005-11-24,0.024271844660194167
TRY,2005-11-24,0.7361059992638941
TWD,2005-11-24,0.02986411826190832
USD,2005-11-24,1.0
ZAR,2005-11-24,0.1530479499227108
AUD,2005-11-25,0.7357268981753973
CAD,2005-11-25,0.8563110121596164
CHF,2005-11-25,0.7581501137225171
CNY,2005-11-25,0.1238037463013631
CZK,2005-11-25,0.040291874337702316
DKK,2005-11-25,0.15728216420257946
EUR,2005-11-25,1.1733310451347176
GBP,2005-11-25,1.7161489617298782
HKD,2005-11-25,0.12895904260806768
HUF,2005-11-25,0.004655582345845522
ILS,2005-11-25,0.21295625878444568
INR,2005-11-25,0.021838829438742085
JPY,2005-11-25,0.008356313194618534
KRW,2005-11-25,0.0009601536245799329
MYR,2005-11-25,0.2645502645502646
NOK,2005-11-25,0.14911352012286955
NZD,2005-11-25,0.6958942240779402
PLN,2005-11-25,0.2991593621922398
RUB,2005-11-25,0.03472704542297542
SAR,2005-11-25,0.2666453350398635
SEK,2005-11-25,0.12387736141220193
SGD,2005-11-25,0.5904930617065249
THB,2005-11-25,0.02425124287619741
TRY,2005-11-25,0.7366482504604052
TWD,2005-11-25,0.029804482594182162
USD,2005-11-25,1.0
ZAR,2005-11-25,0.15375626556782188
AUD,2005-11-28,0.7368110816386678
CAD,2005-11-28,0.8566044200788077
CHF,2005-11-28,0.7624275693809087
CNY,2005-11-28,0.1237547181486294
CZK,2005-11-28,0.040594794935393384
DKK,2005-11-28,0.15816528272044286
EUR,2005-11-28,1.1794562973158982
GBP,2005-11-28,1.7205781142463867
HKD,2005-11-28,0.12895904260806768
HUF,2005-11-28,0.004690955181676003
ILS,2005-11-28,0.213903743315508
INR,2005-11-28,0.021800741225201658
JPY,2005-11-28,0.008389261744966443
KRW,2005-11-28,0.0009620009620009619
MYR,2005-11-28,0.2645852626008731
NOK,2005-11-28,0.14949917775452234
NZD,2005-11-28,0.6990074094785405
PLN,2005-11-28,0.3024071610015725
RUB,2005-11-28,0.034741764464733635
SAR,2005-11-28,0.26663111585121985
SEK,2005-11-28,0.12475361161705632
SGD,2005-11-28,0.5902142477719412
THB,2005-11-28,0.02423948612289419
TRY,2005-11-28,0.7363770250368188
TWD,2005-11-28,0.029761461883007694
USD,2005-11-28,1.0
ZAR,2005-11-28,0.15345661014348194
AUD,2005-11-29,0.7388252678241596
CAD,2005-11-29,0.8552856654122477
CHF,2005-11-29,0.7597052343690648
CNY,2005-11-29,0.12382980831145672
CZK,2005-11-29,0.04055857266271085
DKK,2005-11-29,0.15774861181221606
EUR,2005-11-29,1.1761675824175823
GBP,2005-11-29,1.717032967032967
HKD,2005-11-29,0.12896569512509673
